"OrderID","ProductID","UnitPrice","Quantity","Discount"
"10248","11","14.00000","12","0"
"10248","42","9.80000","10","0"
"10248","72","34.80000","5","0"
"10249","14","18.60000","9","0"
"10249","51","42.40000","40","0"
"10250","41","7.70000","10","0"
"10250","51","42.40000","35","0.15"
"10250","65","16.80000","15","0.15"
"10251","22","16.80000","6","0.05"
"10251","57","15.60000","15","0.05"
"10251","65","16.80000","20","0"
"10252","20","64.80000","40","0.05"
"10252","33","2.00000","25","0.05"
"10252","60","27.20000","40","0"
"10253","31","10.00000","20","0"
"10253","39","14.40000","42","0"
"10253","49","16.00000","40","0"
"10254","24","3.60000","15","0.15"
"10254","55","19.20000","21","0.15"
"10254","74","8.00000","21","0"
"10255","2","15.20000","20","0"
"10255","16","13.90000","35","0"
"10255","36","15.20000","25","0"
"10255","59","44.00000","30","0"
"10256","53","26.20000","15","0"
"10256","77","10.40000","12","0"
"10257","27","35.10000","25","0"
"10257","39","14.40000","6","0"
"10257","77","10.40000","15","0"
"10258","2","15.20000","50","0.2"
"10258","5","17.00000","65","0.2"
"10258","32","25.60000","6","0.2"
"10259","21","8.00000","10","0"
"10259","37","20.80000","1","0"
"10260","41","7.70000","16","0.25"
"10260","57","15.60000","50","0"
"10260","62","39.40000","15","0.25"
"10260","70","12.00000","21","0.25"
"10261","21","8.00000","20","0"
"10261","35","14.40000","20","0"
"10262","5","17.00000","12","0.2"
"10262","7","24.00000","15","0"
"10262","56","30.40000","2","0"
"10263","16","13.90000","60","0.25"
"10263","24","3.60000","65","0"
"10263","30","20.70000","60","0.25"
"10263","74","8.00000","65","0.25"
"10264","2","15.20000","35","0"
"10264","41","7.70000","25","0.15"
"10265","17","31.20000","30","0"
"10265","70","12.00000","20","0"
"10266","12","30.40000","12","0.05"
"10267","40","14.70000","50","0"
"10267","59","44.00000","70","0.15"
"10267","76","14.40000","15","0.15"
"10268","29","99.00000","10","0"
"10268","72","27.80000","4","0"
"10269","33","2.00000","60","0.05"
"10269","72","27.80000","20","0.05"
"10270","36","15.20000","30","0"
"10270","43","36.80000","25","0"
"10271","33","2.00000","24","0"
"10272","20","64.80000","6","0"
"10272","31","10.00000","40","0"
"10272","72","27.80000","24","0"
"10273","10","24.80000","24","0.05"
"10273","31","10.00000","15","0.05"
"10273","33","2.00000","20","0"
"10273","40","14.70000","60","0.05"
"10273","76","14.40000","33","0.05"
"10274","71","17.20000","20","0"
"10274","72","27.80000","7","0"
"10275","24","3.60000","12","0.05"
"10275","59","44.00000","6","0.05"
"10276","10","24.80000","15","0"
"10276","13","4.80000","10","0"
"10277","28","36.40000","20","0"
"10277","62","39.40000","12","0"
"10278","44","15.50000","16","0"
"10278","59","44.00000","15","0"
"10278","63","35.10000","8","0"
"10278","73","12.00000","25","0"
"10279","17","31.20000","15","0.25"
"10280","24","3.60000","12","0"
"10280","55","19.20000","20","0"
"10280","75","6.20000","30","0"
"10281","19","7.30000","1","0"
"10281","24","3.60000","6","0"
"10281","35","14.40000","4","0"
"10282","30","20.70000","6","0"
"10282","57","15.60000","2","0"
"10283","15","12.40000","20","0"
"10283","19","7.30000","18","0"
"10283","60","27.20000","35","0"
"10283","72","27.80000","3","0"
"10284","27","35.10000","15","0.25"
"10284","44","15.50000","21","0"
"10284","60","27.20000","20","0.25"
"10284","67","11.20000","5","0.25"
"10285","1","14.40000","45","0.2"
"10285","40","14.70000","40","0.2"
"10285","53","26.20000","36","0.2"
"10286","35","14.40000","100","0"
"10286","62","39.40000","40","0"
"10287","16","13.90000","40","0.15"
"10287","34","11.20000","20","0"
"10287","46","9.60000","15","0.15"
"10288","54","5.90000","10","0.1"
"10288","68","10.00000","3","0.1"
"10289","3","8.00000","30","0"
"10289","64","26.60000","9","0"
"10290","5","17.00000","20","0"
"10290","29","99.00000","15","0"
"10290","49","16.00000","15","0"
"10290","77","10.40000","10","0"
"10291","13","4.80000","20","0.1"
"10291","44","15.50000","24","0.1"
"10291","51","42.40000","2","0.1"
"10292","20","64.80000","20","0"
"10293","18","50.00000","12","0"
"10293","24","3.60000","10","0"
"10293","63","35.10000","5","0"
"10293","75","6.20000","6","0"
"10294","1","14.40000","18","0"
"10294","17","31.20000","15","0"
"10294","43","36.80000","15","0"
"10294","60","27.20000","21","0"
"10294","75","6.20000","6","0"
"10295","56","30.40000","4","0"
"10296","11","16.80000","12","0"
"10296","16","13.90000","30","0"
"10296","69","28.80000","15","0"
"10297","39","14.40000","60","0"
"10297","72","27.80000","20","0"
"10298","2","15.20000","40","0"
"10298","36","15.20000","40","0.25"
"10298","59","44.00000","30","0.25"
"10298","62","39.40000","15","0"
"10299","19","7.30000","15","0"
"10299","70","12.00000","20","0"
"10300","66","13.60000","30","0"
"10300","68","10.00000","20","0"
"10301","40","14.70000","10","0"
"10301","56","30.40000","20","0"
"10302","17","31.20000","40","0"
"10302","28","36.40000","28","0"
"10302","43","36.80000","12","0"
"10303","40","14.70000","40","0.1"
"10303","65","16.80000","30","0.1"
