"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
"10248","VINET","5","2014-07-04 08:00:00","2014-08-01 00:00:00","2014-07-16 00:00:00","3","32.38000","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France"
"10249","TOMSP","6","2014-07-05 04:00:00","2014-08-16 00:00:00","2014-07-10 00:00:00","1","11.61000","Toms Spezialit‰te","Luisenstr. 48","M¸nster",NULL,"44087","Germany"
"10250","HANAR","4","2014-07-08 15:00:00","2014-08-05 00:00:00","2014-07-12 00:00:00","2","65.83000","Hanari Carnes","Rua do PaÁo, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"10251","VICTE","3","2014-07-08 14:00:00","2014-08-05 00:00:00","2014-07-15 00:00:00","1","41.34000","Victuailles en stock","2, rue du Commerce","Lyo",NULL,"69004","France"
"10252","SUPRD","4","2014-07-09 01:00:00","2014-08-06 00:00:00","2014-07-11 00:00:00","2","51.30000","SuprÍmes dÈlices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium"
"10253","HANAR","3","2014-07-10 08:00:00","2014-07-24 00:00:00","2014-07-16 00:00:00","2","58.17000","Hanari Carnes","Rua do PaÁo, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"10254","CHOPS","5","2014-07-11 02:00:00","2014-08-08 00:00:00","2014-07-23 00:00:00","2","22.98000","Chop-suey Chinese","Hauptstr. 31","Ber",NULL,"3012","Switzerland"
"10255","RICSU","9","2014-07-12 20:00:00","2014-08-09 00:00:00","2014-07-15 00:00:00","3","148.33000","Richter Supermarkt","Starenweg 5","GenËve",NULL,"1204","Switzerland"
"10256","WELLI","3","2014-07-15 22:00:00","2014-08-12 00:00:00","2014-07-17 00:00:00","2","13.97000","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
"10257","HILAA","4","2014-07-16 15:00:00","2014-08-13 00:00:00","2014-07-22 00:00:00","3","81.91000","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San CristÛbal","T·chira","5022","Venezuela"
"10258","ERNSH","1","2014-07-17 00:00:00","2014-08-14 00:00:00","2014-07-23 00:00:00","1","140.51000","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria"
"10259","CENTC","4","2014-07-18 16:00:00","2014-08-15 00:00:00","2014-07-25 00:00:00","3","3.25000","Centro comercial Moctezuma","Sierras de Granada 9993","MÈxico D.F.",NULL,"05022","Mexico"
